,Location (coordinates in km as measured from the southwest corner of the city),,,,Transition matrix: ith row and jth column gives p_{ij}. So row sums are 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1.500,2.167,30,22.9816363,0,0,0.001972286,0.003841488,0.029928788,0.01457333,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0,0,0,0,0,0.001972286,0.003841488,0.007482197,0.01457333,0.009768795,0.005015467,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0,0,0,0.001972286,0.003841488,0.007482197,0.01457333,0.009768795,0.005015467,0.002575026,0.005015467,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0,0,0.003841488,0.007482197,0.01457333,0.009768795,0.005015467,0.002575026,0,0.002575026,0.005015467,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0,0.007482197,0.02914666,0.009768795,0.005015467,0.002575026,0,0.066607743,0,0.010300106,0.005015467,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0.003841488,0.007482197,0.01457333,0.009768795,0.005015467,0.002575026,0,0.002575026,0.005015467,0.01953759,0.01457333,0.029928788,0.003841488,0.001972286,0,0.001972286,0.003841488,0.007482197,0.01457333,0.009768795,0.005015467,0.002575026,0.005015467,0.009768795,0.01457333,0.007482197,0.003841488,0.003944571,0,0,0,0.001972286,0.003841488,0.007482197,0.05829332,0.009768795,0.005015467,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0,0,0,0,0,0.003944571,0.003841488,0.007482197,0.01457333,0.009768795,0.01457333,0.007482197,0.003841488,0.001972286,0,0,0,0,0,0,0,0.001972286,0.003841488,0.007482197,0.01457333,0.007482197,0.003841488,0.001972286,0,0,0,0,0,0,0,0,0,0.001972286,0.003841488,0.007482197,0.007682976,0.001972286,0,0,0,0,0,0,0,0,0,0,0,0.001972286,0.003841488,0.001972286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007889143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.500,2.500,15,11.20010647,0,0,0,0.002072877,0.016149651,0.007863806,0.015316603,0.010267026,0.015316603,0.007863806,0.004037413,0.004145754,0,0,0,0,0,0.002072877,0.004037413,0.007863806,0.015316603,0.010267026,0.005271267,0.010267026,0.015316603,0.007863806,0.004037413,0.004145754,0,0,0,0.002072877,0.004037413,0.007863806,0.015316603,0.010267026,0.005271267,0.002706359,0.005271267,0.010267026,0.015316603,0.007863806,0.004037413,0.002072877,0,0.002072877,0.004037413,0.007863806,0.015316603,0.010267026,0.005271267,0.002706359,0,0.002706359,0.005271267,0.010267026,0.015316603,0.007863806,0.004037413,0.002072877,0.004037413,0.015727612,0.015316603,0.010267026,0.005271267,0.002706359,0,0.035002445,0,0.002706359,0.005271267,0.010267026,0.015316603,0.007863806,0.004037413,0.002072877,0.004037413,0.007863806,0.015316603,0.010267026,0.005271267,0.002706359,0,0.002706359,0.010542534,0.010267026,0.061266412,0.007863806,0.004037413,0.002072877,0,0.002072877,0.004037413,0.007863806,0.015316603,0.010267026,0.005271267,0.002706359,0.005271267,0.010267026,0.015316603,0.007863806,0.008074825,0.008291507,0,0,0,0.002072877,0.004037413,0.031455225,0.015316603,0.010267026,0.005271267,0.010267026,0.015316603,0.007863806,0.004037413,0.002072877,0,0,0,0,0,0.002072877,0.004037413,0.007863806,0.015316603,0.010267026,0.015316603,0.007863806,0.004037413,0.002072877,0,0,0,0,0,0,0,0.002072877,0.004037413,0.007863806,0.015316603,0.007863806,0.004037413,0.004145754,0,0,0,0,0,0,0,0,0,0.002072877,0.004037413,0.015727612,0.004037413,0.002072877,0,0,0,0,0,0,0,0,0,0,0,0.002072877,0.004037413,0.002072877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002072877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.500,2.833,60,48.76728726,0,0,0,0,0.007672374,0.003735936,0.00727661,0.014172901,0.009500379,0.014172901,0.00727661,0.007471872,0.001918094,0,0,0,0,0,0.001918094,0.003735936,0.00727661,0.014172901,0.009500379,0.004877657,0.009500379,0.014172901,0.00727661,0.007471872,0.001918094,0,0,0,0.001918094,0.003735936,0.00727661,0.014172901,0.009500379,0.004877657,0.002504273,0.004877657,0.009500379,0.014172901,0.00727661,0.003735936,0.001918094,0,0.001918094,0.003735936,0.00727661,0.014172901,0.009500379,0.004877657,0.002504273,0,0.002504273,0.004877657,0.009500379,0.014172901,0.00727661,0.003735936,0.001918094,0.007471872,0.00727661,0.014172901,0.009500379,0.004877657,0.005008546,0,0.129555143,0,0.002504273,0.004877657,0.009500379,0.014172901,0.00727661,0,0.001918094,0.003735936,0.00727661,0.014172901,0.009500379,0.004877657,0.002504273,0,0.005008546,0.004877657,0.038001517,0.014172901,0.00727661,0.003735936,0,0,0.001918094,0.003735936,0.00727661,0.014172901,0.009500379,0.004877657,0.002504273,0.004877657,0.009500379,0.014172901,0.01455322,0.014943744,0.001918094,0,0,0,0.001918094,0.014943744,0.00727661,0.014172901,0.009500379,0.004877657,0.009500379,0.014172901,0.00727661,0.003735936,0.001918094,0,0,0,0,0,0.001918094,0.003735936,0.00727661,0.014172901,0.009500379,0.014172901,0.00727661,0.003735936,0.001918094,0,0,0,0,0,0,0,0.001918094,0.003735936,0.00727661,0.014172901,0.00727661,0.007471872,0.001918094,0,0,0,0,0,0,0,0,0,0.001918094,0.007471872,0.00727661,0.003735936,0.001918094,0,0,0,0,0,0,0,0,0,0,0,0.001918094,0.003735936,0.001918094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007672374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1.500,3.167,15,12.55809168,0,0,0,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.016146072,0.01657934,0.004256058,0.002185133,0,0,0,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.005556732,0.010823036,0.016146072,0.01657934,0.004256058,0.002185133,0,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.005556732,0.002852921,0.005556732,0.010823036,0.016146072,0.00828967,0.004256058,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.005556732,0.002852921,0,0.002852921,0.005556732,0.010823036,0.016146072,0.00828967,0,0.004370266,0.004256058,0.00828967,0.016146072,0.010823036,0.011113464,0.002852921,0,0.036897999,0,0.002852921,0.005556732,0.010823036,0.016146072,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.005556732,0.002852921,0,0.002852921,0.022226927,0.010823036,0.016146072,0.00828967,0,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.005556732,0.002852921,0.005556732,0.010823036,0.032292144,0.033158679,0.004256058,0,0,0,0,0.008740533,0.004256058,0.00828967,0.016146072,0.010823036,0.005556732,0.010823036,0.016146072,0.00828967,0.004256058,0.002185133,0,0,0,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.010823036,0.016146072,0.00828967,0.004256058,0.002185133,0,0,0,0,0,0,0,0.002185133,0.004256058,0.00828967,0.016146072,0.01657934,0.004256058,0.002185133,0,0,0,0,0,0,0,0,0,0.004370266,0.004256058,0.00828967,0.004256058,0.002185133,0,0,0,0,0,0,0,0,0,0,0,0.002185133,0.004256058,0.002185133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002185133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1.500,3.500,15,11.81455517,0,0,0,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.032492019,0.00834098,0.004282402,0.002198658,0,0,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.005591126,0.010890026,0.032492019,0.00834098,0.004282402,0,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.005591126,0.00287058,0.005591126,0.010890026,0.01624601,0.00834098,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.005591126,0.00287058,0,0.00287058,0.005591126,0.010890026,0.01624601,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.021780052,0.005591126,0.011482319,0,0.037126383,0,0.00287058,0.005591126,0.010890026,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.005591126,0.005741159,0,0.011482319,0.005591126,0.010890026,0.01624601,0,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.005591126,0.00287058,0.005591126,0.021780052,0.064984039,0.00834098,0,0,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.005591126,0.010890026,0.01624601,0.00834098,0.004282402,0,0,0,0,0,0,0.002198658,0.004282402,0.00834098,0.01624601,0.010890026,0.01624601,0.00834098,0.004282402,0.002198658,0,0,0,0,0,0,0,0.002198658,0.004282402,0.00834098,0.032492019,0.00834098,0.004282402,0.002198658,0,0,0,0,0,0,0,0,0,0.002198658,0.004282402,0.00834098,0.004282402,0.002198658,0,0,0,0,0,0,0,0,0,0,0,0.002198658,0.004282402,0.002198658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002198658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1.500,3.833,15,11.03166484,0,0,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.024345687,0.018159748,0.009323526,0.004786858,0,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.006249746,0.024345687,0.018159748,0.009323526,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.006249746,0.003208727,0.006249746,0.012172843,0.018159748,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.006249746,0.003208727,0,0.003208727,0.006249746,0.012172843,0,0,0,0.002457655,0.004786858,0.009323526,0.036319497,0.012172843,0.024998985,0.003208727,0,0.041499776,0,0.003208727,0.006249746,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.012499492,0.003208727,0,0.003208727,0.006249746,0.012172843,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.006249746,0.003208727,0.012499492,0.048691374,0.018159748,0,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.006249746,0.012172843,0.018159748,0.009323526,0,0,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.018159748,0.012172843,0.018159748,0.009323526,0.004786858,0,0,0,0,0,0,0,0,0.002457655,0.004786858,0.018647051,0.018159748,0.009323526,0.004786858,0.002457655,0,0,0,0,0,0,0,0,0,0.002457655,0.004786858,0.009323526,0.004786858,0.002457655,0,0,0,0,0,0,0,0,0,0,0,0.002457655,0.004786858,0.002457655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002457655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1.500,4.167,15,11.54262061,0,0,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.039956374,0.013391779,0.019978187,0.010257143,0,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.013391779,0.013751138,0.013391779,0.019978187,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.013391779,0.006875569,0.003530035,0.006875569,0.013391779,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.013391779,0.006875569,0.003530035,0,0.003530035,0.006875569,0,0,0,0,0.002703754,0.005266193,0.020514287,0.019978187,0.053567117,0.006875569,0.003530035,0,0.045655385,0,0.003530035,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.026783559,0.006875569,0.014120139,0,0.003530035,0.006875569,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.013391779,0.006875569,0.007060069,0.027502275,0.013391779,0,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.013391779,0.006875569,0.013391779,0.019978187,0,0,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.019978187,0.013391779,0.019978187,0.010257143,0,0,0,0,0,0,0,0,0,0.002703754,0.010532386,0.010257143,0.019978187,0.010257143,0.005266193,0,0,0,0,0,0,0,0,0,0,0.002703754,0.005266193,0.010257143,0.005266193,0.002703754,0,0,0,0,0,0,0,0,0,0,0,0.002703754,0.005266193,0.002703754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010815014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.500,4.500,15,13.08997864,0,0,0,0,0,0,0,0,0,0.003009801,0.005862292,0.022836373,0.02223959,0.014907643,0.02223959,0,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.02223959,0.029815286,0.007653839,0.014907643,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.02223959,0.014907643,0.007653839,0.003929612,0.007653839,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.02223959,0.014907643,0.007653839,0.003929612,0,0.003929612,0,0,0,0,0,0.003009801,0.011724585,0.011418186,0.08895836,0.014907643,0.007653839,0.003929612,0,0.050823282,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.04447918,0.014907643,0.030615357,0.003929612,0,0.003929612,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.02223959,0.014907643,0.015307678,0.015718448,0.007653839,0,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.02223959,0.014907643,0.007653839,0.014907643,0,0,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.02223959,0.014907643,0.02223959,0,0,0,0,0,0,0,0,0,0,0.006019602,0.005862292,0.011418186,0.02223959,0.011418186,0,0,0,0,0,0,0,0,0,0,0,0.003009801,0.005862292,0.011418186,0.005862292,0,0,0,0,0,0,0,0,0,0,0,0,0.003009801,0.005862292,0.003009801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003009801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1.500,4.833,15,12.6501944,0,0,0,0,0,0,0,0,0,0,0.00342773,0.013352613,0.013003669,0.025327689,0.016977658,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.050655378,0.016977658,0.00871662,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.025327689,0.016977658,0.00871662,0.004475262,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.025327689,0.016977658,0.00871662,0.004475262,0,0,0,0,0,0,0,0.00685546,0.006676306,0.052014676,0.025327689,0.016977658,0.00871662,0.004475262,0,0.057880395,0,0,0,0,0,0,0,0.00342773,0.006676306,0.026007338,0.025327689,0.06791063,0.00871662,0.004475262,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.025327689,0.033955315,0.03486648,0.004475262,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.025327689,0.016977658,0.00871662,0,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.025327689,0.016977658,0,0,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0.025327689,0,0,0,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0.013003669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342773,0.006676306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1.833,0.167,15,12.22114934,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0,0,0.018080745,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0,0.009282964,0.018080745,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0.004766033,0.009282964,0.018080745,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0.009532065,0.009282964,0.018080745,0.026973302,0.013848555,0.01422017,0.003650439,0,0,0,0,0,0,0,0.061641052,0,0.004766033,0.009282964,0.018080745,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0.004766033,0.009282964,0.018080745,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0.004766033,0.009282964,0.018080745,0.026973302,0.05539422,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0.009282964,0.018080745,0.053946604,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0.018080745,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0,0.026973302,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0,0,0.013848555,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0,0,0,0.007110085,0.003650439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003650439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1.833,0.500,15,11.20236375,0.011401076,0.022206263,0.011401076,0.005853507,0.012021164,0,0,0,0,0,0,0,0,0,0,0.022206263,0.014885303,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0,0.014885303,0.00764237,0.014885303,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0.00764237,0.003923723,0.00764237,0.014885303,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0.003923723,0,0.003923723,0.00764237,0.014885303,0.022206263,0.022802151,0.005853507,0.012021164,0,0,0,0,0,0,0,0.050747121,0,0.003923723,0.00764237,0.014885303,0.022206263,0.011401076,0.005853507,0.006010582,0,0,0,0,0,0.003923723,0,0.003923723,0.00764237,0.014885303,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0.00764237,0.003923723,0.00764237,0.014885303,0.088825053,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0.014885303,0.00764237,0.029770607,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0.022206263,0.014885303,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0,0.011401076,0.022206263,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0,0,0.005853507,0.011401076,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0,0,0,0.003005291,0.005853507,0.003005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1.833,0.833,15,12.18993472,0.005110526,0.009953946,0.019387639,0.009953946,0.020442105,0.002623832,0,0,0,0,0,0,0,0,0,0.009953946,0.019387639,0.012995923,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0,0,0.019387639,0.012995923,0.006672329,0.012995923,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0,0.012995923,0.006672329,0.003425688,0.006672329,0.012995923,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0.006672329,0.006851376,0,0.003425688,0.006672329,0.012995923,0.038775278,0.009953946,0.020442105,0.002623832,0,0,0,0,0,0.003425688,0,0.044305827,0,0.003425688,0.006672329,0.012995923,0.019387639,0.009953946,0.010221052,0.002623832,0,0,0,0,0.006672329,0.003425688,0,0.003425688,0.006672329,0.012995923,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0.012995923,0.006672329,0.003425688,0.006672329,0.051983692,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0.019387639,0.012995923,0.013344659,0.012995923,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0,0.009953946,0.019387639,0.012995923,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0,0,0.005110526,0.009953946,0.019387639,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0,0,0,0.002623832,0.005110526,0.009953946,0.005110526,0.002623832,0,0,0,0,0,0,0,0,0,0,0,0.002623832,0.005110526,0.010495326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002623832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1.833,1.167,15,12.8855402,0.002301083,0.004481898,0.008729546,0.017002833,0.034918183,0.004481898,0.002301083,0,0,0,0,0,0,0,0,0.004481898,0.008729546,0.017002833,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0,0,0.008729546,0.017002833,0.01139734,0.005851589,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0,0.017002833,0.01139734,0.005851589,0.003004306,0.005851589,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0.01139734,0.011703179,0.003004306,0,0.003004306,0.005851589,0.02279468,0.017002833,0.034918183,0.004481898,0.002301083,0,0,0,0,0.005851589,0.003004306,0,0.038855922,0,0.003004306,0.005851589,0.01139734,0.017002833,0.017459091,0.004481898,0.009204333,0,0,0,0.01139734,0.005851589,0.003004306,0,0.003004306,0.005851589,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0.017002833,0.01139734,0.005851589,0.003004306,0.023406358,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0.008729546,0.017002833,0.02279468,0.005851589,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0,0.004481898,0.008729546,0.017002833,0.01139734,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0,0,0.002301083,0.004481898,0.008729546,0.017002833,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0,0,0,0,0.002301083,0.004481898,0.008729546,0.004481898,0.002301083,0,0,0,0,0,0,0,0,0,0,0,0.002301083,0.017927593,0.002301083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002301083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1.833,1.500,15,12.22907226,0,0.002029701,0.003953317,0.00770001,0.059990284,0.00770001,0.003953317,0.002029701,0,0,0,0,0,0,0,0.002029701,0.003953317,0.00770001,0.014997571,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0,0,0,0.003953317,0.00770001,0.014997571,0.010053172,0.005161471,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0,0,0.00770001,0.014997571,0.010053172,0.005161471,0.002649987,0.005161471,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0,0.014997571,0.020106345,0.005161471,0.002649987,0,0.002649987,0.010322942,0.010053172,0.059990284,0.00770001,0.003953317,0.002029701,0,0,0,0.010053172,0.005161471,0.002649987,0,0.034273373,0,0.002649987,0.005161471,0.010053172,0.029995142,0.00770001,0.015813267,0.002029701,0,0,0.014997571,0.010053172,0.005161471,0.002649987,0,0.002649987,0.005161471,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0.00770001,0.014997571,0.010053172,0.005161471,0.01059995,0.005161471,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0,0.003953317,0.00770001,0.029995142,0.010053172,0.005161471,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0,0,0.002029701,0.003953317,0.00770001,0.014997571,0.010053172,0.014997571,0.00770001,0.003953317,0.002029701,0,0,0,0,0,0,0,0.002029701,0.003953317,0.00770001,0.014997571,0.00770001,0.003953317,0.004059401,0,0,0,0,0,0,0,0,0,0.002029701,0.003953317,0.00770001,0.003953317,0.002029701,0,0,0,0,0,0,0,0,0,0,0,0.008118802,0.003953317,0.002029701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002029701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1.833,1.833,15,11.31458651,0,0,0.001992722,0.003881293,0.030238909,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0,0,0,0,0.001992722,0.003881293,0.007559727,0.014724338,0.009870019,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0,0,0.001992722,0.003881293,0.007559727,0.014724338,0.009870019,0.005067437,0.009870019,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0,0.003881293,0.007559727,0.014724338,0.009870019,0.005067437,0.002601709,0.005067437,0.009870019,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0.007559727,0.029448676,0.009870019,0.005067437,0.002601709,0,0.005203418,0.005067437,0.039480076,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0.014724338,0.009870019,0.005067437,0.002601709,0,0.033648965,0,0.002601709,0.005067437,0.019740038,0.014724338,0.030238909,0.003881293,0.001992722,0,0.007559727,0.014724338,0.009870019,0.005067437,0.002601709,0,0.002601709,0.005067437,0.009870019,0.014724338,0.007559727,0.003881293,0.003985445,0,0,0.003881293,0.007559727,0.014724338,0.009870019,0.020269747,0.002601709,0.005067437,0.009870019,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0.001992722,0.003881293,0.015119455,0.014724338,0.009870019,0.005067437,0.009870019,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0,0,0.001992722,0.003881293,0.007559727,0.014724338,0.009870019,0.014724338,0.007559727,0.003881293,0.001992722,0,0,0,0,0,0,0,0.001992722,0.003881293,0.007559727,0.014724338,0.007559727,0.007762587,0.001992722,0,0,0,0,0,0,0,0,0,0.001992722,0.003881293,0.007559727,0.003881293,0.001992722,0,0,0,0,0,0,0,0,0,0,0,0.001992722,0.003881293,0.00797089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001992722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
